CoCNumber,CoCName,TotalHomeless2016,HomelessVeterans2016,HomelessUnder25Youth2016,"Sheltered Homeless, 2016","Unsheltered Homeless, 2016","Homeless Individuals, 2016","Sheltered Homeless Individuals, 2016","Unsheltered Homeless Individuals, 2016","Homeless People in Families, 2016","Sheltered Homeless People in Families, 2016","Unsheltered Homeless People in Families, 2016","Chronically Homeless, 2016","Sheltered Chronically Homeless, 2016","Unsheltered Chronically Homeless, 2016","Chronically Homeless Individuals, 2016","Sheltered Chronically Homeless Individuals, 2016","Unsheltered Chronically Homeless Individuals, 2016","Chronically Homeless People in Families, 2016","Sheltered Chronically Homeless People in Families, 2016","Unsheltered Chronically Homeless People in Families, 2016","Sheltered Homeless Veterans, 2016","Unsheltered Homeless Veterans, 2016","Sheltered Homeless Unaccompanied Youth (Under 25), 2016","Unsheltered Homeless Unaccompanied Youth (Under 25), 2016","Homeless Unaccompanied Children (Under 18), 2016","Sheltered Homeless Unaccompanied Children (Under 18), 2016","Unsheltered Homeless Unaccompanied Children (Under 18), 2016","Homeless Unaccompanied Young Adults (Age 18-24), 2016","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2016","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2016","Parenting Youth (Under 25), 2016","Sheltered Parenting Youth (Under 25), 2016","Unsheltered Parenting Youth (Under 25), 2016","Parenting Youth Under 18, 2016","Sheltered Parenting Youth Under 18, 2016","Unsheltered Parenting Youth Under 18, 2016","Parenting Youth Age 18-24, 2016","Sheltered Parenting Youth Age 18-24, 2016","Unsheltered Parenting Youth Age 18-24, 2016","Children of Parenting Youth, 2016","Sheltered Children of Parenting Youth, 2016","Unsheltered Children of Parenting Youth, 2016"
CA-600,Los Angeles City & County,43854,2728,3086,11073,32781,37726,6776,30950,6128,4297,1831,13468,660,12808,12970,616,12354,498,44,454,1243,1485,814,2272,125,42,83,2961,772,2189,196,148,48,0,0,0,196,148,48,258,190,68
NY-600,New York City,73523,559,1805,70685,2838,28965,26127,2838,44558,44558,0,4294,2481,1813,3230,1417,1813,1064,1064,0,527,32,1653,152,23,20,3,1782,1633,149,2261,2261,0,0,0,0,2261,2261,0,2681,2681,0
NV-500,Las Vegas/Clark County,6208,730,1531,2477,3731,5851,2131,3720,357,346,11,285,32,253,285,32,253,0,0,0,328,402,215,1316,279,15,264,1252,200,1052,28,23,5,1,1,0,27,22,5,36,31,5
CA-501,San Francisco,6996,580,1488,2638,4358,6309,1984,4325,687,654,33,1932,718,1214,1805,616,1189,127,102,25,228,352,125,1363,131,12,119,1357,113,1244,77,72,5,0,0,0,77,72,5,103,88,15
CA-500,San Jose/Santa Clara City & County,6524,701,885,1897,4627,5585,1021,4564,939,876,63,2146,128,2018,2095,110,1985,51,18,33,255,446,105,780,50,9,41,835,96,739,53,47,6,0,0,0,53,47,6,55,49,6
CA-601,San Diego City and County,8669,1156,830,3729,4940,6955,2297,4658,1714,1432,282,1417,309,1108,1345,258,1087,72,51,21,584,572,257,573,145,31,114,685,226,459,82,82,0,0,0,0,82,82,0,106,106,0
WA-500,Seattle/King County,10730,656,724,6225,4505,7748,3299,4449,2982,2926,56,814,456,358,785,427,358,29,29,0,536,120,389,335,26,25,1,698,364,334,129,129,0,2,2,0,127,127,0,231,231,0
CA-504,Santa Rosa/Petaluma/Sonoma County,2906,274,664,1000,1906,2517,631,1886,389,369,20,747,192,555,699,150,549,48,42,6,54,220,64,600,98,1,97,566,63,503,4,4,0,2,2,0,2,2,0,5,5,0
OR-505,Oregon Balance of State,5710,525,601,1859,3851,3429,1308,2121,2281,551,1730,1078,214,864,919,201,718,159,13,146,207,318,150,451,179,21,158,422,129,293,66,30,36,0,0,0,66,30,36,89,46,43
TX-607,Texas Balance of State (BoS),6048,64,457,3660,2388,3898,1683,2215,2150,1977,173,853,338,515,823,316,507,30,22,8,40,24,192,265,69,22,47,388,170,218,108,102,6,0,0,0,108,102,6,156,143,13
