State,CHI_2017,CHI_2016,CHI_2015,CHI_2014,CHI_2013,CHI_2012,CHI_2011,CHI_2010,CHI_2009,CHI_2008,CHI_2007,PctChange_2007_2017,H2017,H2010,H2007,CHI_Pct_2017,CHI_Pct_2010,CHI_Pct_2007,PCTCHG_2010_2017,PCTCHG_2007_2017
PR,"1,065","1,623","1,615","1,567","1,629","1,597","1,647","2,218","2,195","2,917","2,904",-63,3525,4149,4309,30.21276596,53.45866474,67.39382687,-23.24589878,-37.18106092
LA,609,570,735,743,"1,015","2,743","4,352","4,815","4,815",613,562,8,3305,12482,5494,18.42662632,38.57554879,10.2293411,-20.14892247,8.197285224
WY,14,80,86,105,221,375,82,101,79,67,38,-63,873,579,537,1.603665521,17.44386874,7.076350093,-15.84020322,-5.472684572
NH,100,227,257,301,226,237,166,326,330,437,367,-73,1456,1574,2248,6.868131868,20.7115629,16.32562278,-13.84343103,-9.457490908
DC,"1,470","1,501","1,593","1,609","1,764","1,870","2,093","2,110","1,923","2,184","1,760",-16,7473,6539,5320,19.67081493,32.26793088,33.08270677,-12.59711594,-13.41189183
OH,725,733,"1,160","1,340","1,677","1,788","1,881","2,240","2,303","2,252","2,308",-69,10095,12569,11264,7.181773155,17.82162463,20.49005682,-10.63985148,-13.30828366
MS,61,180,233,275,408,450,438,357,522,877,593,-90,1472,2743,1377,4.144021739,13.01494714,43.06463326,-8.870925399,-38.92061152
GA,963,"1,658","1,994","2,645","2,713","3,016","3,879","3,635","3,771","2,671","2,484",-61,10174,19836,19639,9.465303715,18.32526719,12.64830185,-8.859963476,-3.182998133
TN,"1,295","1,640","1,492","1,904","1,929","2,114","1,661","2,495","2,632","3,364","2,767",-53,8309,10276,11210,15.58550969,24.27987544,24.68331847,-8.69436575,-9.097808777
WV,188,161,352,424,390,346,287,516,337,387,"1,151",-84,1309,2264,2409,14.36210848,22.79151943,47.77916148,-8.429410955,-33.417053
MN,813,715,"1,124",885,915,"1,004","1,211","1,490","1,449","1,537","1,414",-43,7668,7869,7323,10.60250391,18.93506163,19.30902636,-8.332557722,-8.706522443
AL,344,390,557,618,768,910,"1,046","1,043","1,189","1,052",993,-65,3793,6046,5452,9.069338255,17.25107509,18.21349963,-8.181736836,-9.144161378
UT,163,168,178,386,347,331,364,406,700,702,801,-80,2852,3284,3011,5.715287518,12.36297199,26.60245766,-6.647684468,-20.88717014
