State,TotalBeds_2017,NonDV_Beds_2017,HMIS_Beds_2017,TotalBeds_2016,NonDV_Beds_2016,HMIS_Beds_2016,TotalBeds_2015,NonDV_Beds_2015,HMIS_Beds_2015,TotalBeds_2014,NonDV_Beds_2014,HMIS_Beds_2014,TotalBeds_2013,NonDV_Beds_2013,HMIS_Beds_2013
AK,1828,1484,1307,1826,1468,1249,1860,1425,1134,1814,1382,1031,1895,1460,1171
AL,3444,2915,1601,3489,2952,1931,3613,3121,1795,3724,3212,1985,4077,3553,1974
AR,2062,1516,743,2394,1758,907,2486,1839,1007,2151,1687,944,2561,1963,1156
AZ,5880,4896,4590,6942,5913,5403,7473,6429,5680,8873,7411,6063,8982,7425,6574
CA,44473,39588,25743,42351,37419,28631,45929,41095,30125,44035,38960,31075,45411,40146,31307
CO,7071,6260,3215,7656,6834,4310,7653,6834,5168,8466,7625,5861,7744,7028,6022
CT,3094,2773,2666,3236,2902,2705,3399,3056,2796,3411,3084,2899,3634,3322,3068
DC,7402,7064,6727,8314,7949,7692,6963,6570,6374,7281,7096,6625,7854,7754,7183
DE,1143,1067,649,1170,1057,701,1146,1068,621,1172,1098,736,1263,1165,697
FL,19982,17407,14745,21575,18825,15890,22026,19428,16166,22316,19664,16266,24292,21495,16032
GA,8127,6678,4059,8792,7323,4954,9219,7760,5601,9256,7792,5892,9371,7897,6379
GU,129,88,83,146,105,100,154,101,100,186,123,160,193,140,128
HI,4252,4030,4006,4412,4213,4213,4363,4174,3974,4336,4145,4096,4112,3905,3856
IA,3266,2696,2274,3568,2893,2402,3606,2935,2015,3643,2980,2358,3828,3125,2497
ID,1691,1407,740,1906,1642,894,1859,1586,940,1768,1497,897,1996,1628,1095
IL,10177,8766,8071,11381,10047,8911,11975,10628,8559,12676,11309,9369,12787,11412,9187
IN,6142,4760,2893,6479,5008,3062,6511,5078,3208,6842,5401,3265,7758,6344,3862
KS,2516,1937,1097,2462,1947,1412,2979,2319,1634,3188,2510,1812,3120,2438,1549
KY,3540,2977,2249,3797,3206,2559,4087,3527,2644,4262,3715,2642,4970,4248,3133
LA,3164,2708,2197,3675,3157,2538,4028,3527,2671,4574,4032,3172,4662,4092,3191
MA,16614,15750,15156,17382,16377,15075,17707,16671,15263,15471,14388,12698,18047,16970,15217
MD,5616,5164,4318,6138,5663,4799,6076,5607,4591,5950,5439,4434,6080,5571,4547
ME,2457,2105,1907,2484,2109,1880,2576,2213,2036,2730,2355,2194,3243,2865,2682
MI,8624,6653,6065,9261,7227,6669,10337,8351,7730,10643,8811,7860,11385,9327,8281
MN,7013,6204,5213,6871,5987,4971,6779,5903,4811,7336,6423,5353,7126,6288,4819
MO,6057,4388,3356,6529,4707,3528,6700,4798,2834,7284,5319,3005,7761,5886,4128
MP,41,0,0,1383,1015,779,1498,1115,874,1607,1223,962,1823,1427,1037
MS,1322,973,657,1257,958,347,1224,949,387,1337,1059,452,1493,1216,479
MT,1290,996,145,8641,7199,5599,9337,7914,5803,9724,8303,6305,10834,9449,7458
NC,8002,6623,5256,980,648,638,966,731,713,936,740,619,729,566,511
ND,1034,702,690,2733,2551,1901,2973,2709,1954,3446,3098,2382,3728,3189,2795
NE,2569,2347,1694,1476,1291,1091,1369,1203,1082,1398,1259,1142,1410,1247,1141
NH,1383,1209,1098,7127,6250,5921,7737,6863,6363,7561,6670,6292,8285,7355,6927
NJ,7001,6115,5634,1880,1242,801,2277,1462,899,2325,1585,888,2592,1826,942
NM,1674,1147,678,3577,3302,2858,4466,4196,3867,5175,4956,4439,3929,3617,3184
NV,3331,2999,2561,84730,80950,74660,86578,82773,73499,78506,74262,65668,75992,71036,63145
NY,87836,84036,81126,9844,8604,7508,10273,9054,7611,10759,9544,7755,13301,11956,10481
OH,9420,8104,6915,3762,2976,2162,3804,3056,2362,3880,3105,2383,4211,3451,2430
OK,3678,2901,2132,5791,5294,3241,6144,5636,3275,6924,6438,3829,7922,7030,4526
OR,6648,6081,3959,15682,13791,11475,16140,14229,12077,15922,14055,12055,16370,14507,12396
PA,14246,12467,9926,2000,1565,1558,2112,1671,1665,1962,1543,1538,2003,1590,1511
PR,1531,1222,1222,1122,963,810,1142,1008,872,1225,1091,955,1181,1076,1012
RI,1069,907,761,3721,3265,2098,3755,3303,2075,3473,3080,2224,4149,3691,3105
SC,2931,2583,1915,1157,831,443,1460,1047,663,1747,1316,587,1588,1146,433
SD,1356,958,300,6979,6278,3845,6981,6351,3505,6791,6042,3764,6979,6236,3556
TN,6326,5621,4687,20297,16263,11879,20812,16272,11477,22443,17660,12237,22582,18024,11412
TX,19344,15519,11890,2499,1696,1520,2760,1986,1765,2740,1988,1802,3188,2449,2249
UT,2754,2080,1896,5942,4797,3850,6077,4858,4073,6274,5031,4014,7935,6637,5321
VA,5628,4568,3656,143,95,82,128,85,62,127,93,70,151,105,92
VI,132,100,87,752,634,326,903,808,223,1040,884,286,1414,1264,231
VT,961,809,472,14627,12972,10157,14476,12907,9854,14886,13265,10157,18551,16823,14109
WA,14288,12652,9764,6404,5068,4456,6703,5286,4703,6504,5218,4635,6701,5347,4763
WI,5525,4197,3804,1731,1451,1175,1815,1536,1133,1965,1644,1293,1980,1674,1090
WV,1657,1334,1053,812,592,515,853,654,505,815,613,338,905,688,483
WY,698,637,503,411285,361229,299081,426267,375705,302818,424880,373223,301763,446078,392069,316554
Total,399439,351168,290151,,,,,,,,,,,,
