CoC Number,CoC Name,Total Homeless,Sheltered Homeless,Unsheltered Homeless,Chronically Homeless,Homeless Veterans,Homeless Individuals,Homeless People in Families,Homeless Unaccompanied Youth (Under 25)
MA-599,"MA-510, MA-516 & MA-518 Shared Jurisdiction",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA
No CoC,No CoC,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA
NY-600,New York City CoC,76501,72565,3936,5755,535,31124,45377,2003
CA-600,Los Angeles City & County CoC,55188,13972,41216,16576,4476,47082,8106,5163
WA-500,Seattle/King County CoC,11643,6158,5485,2773,1329,8810,2833,1498
CA-601,San Diego City and County CoC,9160,3539,5621,2176,1067,7571,1589,1160
DC-500,District of Columbia CoC,7473,6576,897,1881,285,3583,3890,228
CA-500,San Jose/Santa Clara City & County CoC,7394,1946,5448,2097,660,6319,1075,2530
TX-607,Texas Balance of State (BoS) CoC,7153,3583,3570,879,674,4808,2345,417
CA-501,San Francisco CoC,6858,2505,4353,2138,684,6257,601,1274
NV-500,Las Vegas/Clark County CoC,6490,2137,4353,446,691,6190,300,2052
MA-500,Boston CoC,6135,5949,186,769,233,2492,3643,190
OR-505,Oregon Balance of State CoC,5795,2026,3769,737,379,3902,1893,847
PA-500,Philadelphia CoC,5693,4737,956,898,244,3341,2352,297
IL-510,Chicago CoC,5657,4096,1561,863,528,3724,1933,277
CA-502,Oakland/Alameda County CoC,5629,1766,3863,1707,531,4918,711,991
AZ-502,Phoenix/Mesa/Maricopa County Regional CoC,5605,3546,2059,939,489,3805,1800,320
CO-503,Metropolitan Denver Homeless Initiative,5506,4612,894,1083,548,4031,1475,436
HI-501,Honolulu CoC,4959,2635,2324,1159,449,3112,1847,210
CA-602,Santa Ana/Anaheim/Orange County CoC,4792,2208,2584,893,405,3527,1265,128
WA-501,Washington Balance of State CoC,4671,3061,1610,972,383,2875,1796,314
OR-501,Portland-Gresham-Multnomah County CoC,4177,2509,1668,1290,445,3520,657,304
CO-500,Colorado Balance of State CoC,4019,1511,2508,807,332,2568,1451,240
NY-603,"Nassau, Suffolk Counties/Babylon/Islip/ Huntington CoC",3937,3873,64,141,141,994,2943,118
TX-600,Dallas City & County/Irving CoC,3789,2702,1087,542,358,2990,799,237
FL-600,Miami/Dade County CoC,3721,2710,1011,309,167,2546,1175,141
GA-501,Georgia Balance of State CoC,3716,1843,1873,242,157,2219,1497,177
CA-503,Sacramento City & County CoC,3665,1613,2052,1126,469,3076,589,205
IN-502,Indiana Balance of State CoC,3655,3212,443,330,287,2340,1315,221
TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",3605,2477,1128,539,405,2670,935,183
GA-500,Atlanta Continuum of Care,3572,2891,681,346,386,3089,483,199
CA-506,"Salinas/Monterey, San Benito Counties CoC",3364,850,2514,902,123,2719,645,627
WI-500,Wisconsin Balance of State CoC,3348,3211,137,232,180,1499,1849,142
OH-507,Ohio Balance of State CoC,3309,2686,623,180,160,1779,1530,201
MN-500,Minneapolis/Hennepin County CoC,3057,2759,298,342,110,1395,1662,243
NC-503,North Carolina Balance of State CoC,3054,2102,952,382,176,1911,1143,134
CA-504,Santa Rosa/Petaluma/Sonoma County CoC,2835,988,1847,598,211,2509,326,532
FL-502,St. Petersburg/Clearwater/Largo/Pinellas County CoC,2831,1679,1152,690,329,2466,365,118
TX-500,San Antonio/Bexar County CoC,2743,1641,1102,651,228,1899,844,127
MD-501,Baltimore City CoC,2669,2123,546,699,276,2178,491,81
CT-505,Connecticut Balance of State CoC,2610,2276,334,368,143,1778,832,123
FL-519,Pasco County CoC,2593,178,2415,847,220,838,1755,329
FL-601,Ft Lauderdale/Broward County CoC,2450,1493,957,581,197,2037,413,154
CA-608,Riverside City & County CoC,2406,768,1638,418,148,2172,234,257
TN-504,Nashville/Davidson County CoC,2337,1698,639,617,223,1990,347,114
MA-504,Springfield/Hampden County CoC,2311,2258,53,132,14,370,1941,35
ME-500,Maine Balance of State CoC,2280,2100,180,201,131,1352,928,178
HI-500,Hawaii Balance of State CoC,2261,785,1476,641,166,1423,838,109
CA-508,Watsonville/Santa Cruz City & County CoC,2249,450,1799,600,236,1846,403,586
PA-509,Eastern Pennsylvania CoC,2170,1765,405,156,82,1209,961,142
MA-516,Massachusetts Balance of State CoC,2080,1911,169,144,19,516,1564,33
MI-501,Detroit CoC,2078,1858,220,249,337,1543,535,134
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",2074,1734,340,194,218,1342,732,95
NJ-504,Newark/Essex County CoC,2048,1620,428,181,52,1253,795,140
UT-500,Salt Lake City & County CoC,2047,1886,161,143,177,1348,699,110
TX-503,Austin/Travis County CoC,2036,1202,834,553,169,1460,576,98
CA-514,Fresno/Madera County CoC,2016,487,1529,692,211,1742,274,101
TX-601,Fort Worth/Arlington/Tarrant County CoC,1941,1551,390,234,186,1344,597,87
KY-500,Kentucky Balance of State CoC,1940,1415,525,164,161,1326,614,135
PR-502,Puerto Rico Balance of Commonwealth CoC,1883,682,1201,655,46,1678,205,65
FL-510,"Jacksonville-Duval, Clay Counties CoC",1869,1437,432,319,125,1444,425,126
CA-609,San Bernardino City & County CoC,1866,687,1179,441,161,1432,434,166
CA-606,Long Beach CoC,1863,655,1208,694,318,1646,217,64
CA-603,Santa Maria/Santa Barbara County CoC,1860,967,893,226,100,1422,438,145
NY-604,Yonkers/Mount Vernon/New Rochelle/Westchester CoC,1832,1785,47,149,121,669,1163,68
IA-501,Iowa Balance of State CoC,1792,1742,50,107,81,807,985,95
IN-503,Indianapolis CoC,1783,1657,126,207,328,1283,500,73
AZ-500,Arizona Balance of State CoC,1768,1046,722,388,238,1434,334,125
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",1732,183,1549,57,72,750,982,103
OH-502,Cleveland/Cuyahoga County CoC,1727,1630,97,120,172,1360,367,81
OH-503,Columbus/Franklin County CoC,1691,1351,340,229,140,1242,449,144
MO-604,"Kansas City, Independence, Lee's Summit/Jackson, Wyandotte Counties CoC",1671,1442,229,330,170,1127,544,124
CA-510,Turlock/Modesto/Stanislaus County CoC,1661,840,821,178,100,1256,405,103
PR-503,South-Southeast Puerto Rico CoC,1642,331,1311,423,48,1463,179,70
CA-505,Richmond/Contra Costa County CoC,1607,696,911,331,99,1352,255,61
FL-605,West Palm Beach/Palm Beach County CoC,1607,526,1081,252,65,1281,326,99
AZ-501,Tucson/Pima County CoC,1574,1189,385,225,243,1249,325,133
FL-501,Tampa/Hillsborough County CoC,1549,982,567,235,172,1070,479,43
CA-511,Stockton/San Joaquin County CoC,1542,975,567,254,109,1016,526,67
MT-500,Montana Statewide CoC,1529,985,544,198,205,987,542,106
OR-500,Eugene/Springfield/Lane County CoC,1529,526,1003,640,164,1260,269,116
MA-506,Worcester City & County CoC,1507,1371,136,89,161,584,923,59
NC-505,Charlotte/Mecklenberg CoC,1476,1261,215,147,137,1016,460,71
MI-500,Michigan Balance of State CoC,1465,1226,239,55,62,784,681,135
FL-500,"Sarasota/Bradenton/Manatee, Sarasota Counties CoC",1447,785,662,285,149,1202,245,85
MN-501,Saint Paul/Ramsey County CoC,1438,1272,166,269,69,905,533,144
TN-501,Memphis/Shelby County CoC,1426,1347,79,66,213,915,511,31
CO-504,Colorado Springs/El Paso County CoC,1415,958,457,374,198,972,443,87
NE-501,Omaha/Council Bluffs CoC,1389,1332,57,290,104,1037,352,68
OK-502,Oklahoma City CoC,1368,1100,268,254,147,1009,359,64
MO-501,St.Louis City CoC,1336,1194,142,151,169,821,515,77
WA-503,Tacoma/Lakewood/Pierce County CoC,1321,817,504,337,136,879,442,87
NM-500,Albuquerque CoC,1318,934,384,379,163,1104,214,107
SC-501,Greenville/Anderson/Spartanburg Upstate CoC,1317,932,385,230,73,898,419,53
LA-503,New Orleans/Jefferson Parish CoC,1301,776,525,404,113,1158,143,118
CA-512,Daly/San Mateo County CoC,1253,616,637,234,105,822,431,30
MO-606,Missouri Balance of State CoC,1244,952,292,245,98,751,493,76
CA-509,Mendocino County CoC,1238,160,1078,97,24,1179,59,42
CA-518,Vallejo/Solano County CoC,1232,315,917,434,156,1070,162,210
ID-501,Idaho Balance of State,1204,676,528,109,104,638,566,60
SC-502,Columbia/Midlands CoC,1200,893,307,295,153,939,261,61
CA-519,Chico/Paradise/Butte County CoC,1195,450,745,531,110,997,198,68
TX-603,El Paso City & County CoC,1193,1016,177,96,90,691,502,75
RI-500,Rhode Island Statewide CoC,1180,1111,69,240,95,802,378,49
NM-501,New Mexico Balance of State CoC,1164,752,412,435,85,761,403,74
OH-500,Cincinnati/Hamilton County CoC,1162,1088,74,90,192,889,273,90
CA-613,Imperial County CoC,1154,128,1026,105,21,1034,120,24
CA-611,Oxnard/San Buenaventura/Ventura County CoC,1152,488,664,385,80,969,183,58
PA-600,Pittsburgh/McKeesport/Penn Hills/Allegheny County CoC,1145,1092,53,131,102,756,389,77
AK-500,Anchorage CoC,1128,973,155,116,69,848,280,115
CA-614,San Luis Obispo County CoC,1125,303,822,282,84,977,148,196
CA-507,Marin County CoC,1117,409,708,359,94,917,200,127
MA-511,Quincy/Brockton/Weymouth/Plymouth City and County CoC,1109,1059,50,143,45,359,750,15
NV-501,Reno/Sparks/Washoe County CoC,1106,1026,80,38,125,911,195,98
TN-507,Jackson/West Tennessee CoC,1103,134,969,212,36,707,396,75
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",1092,875,217,92,40,932,160,125
WA-502,Spokane City & County CoC,1090,952,138,325,118,791,299,71
ND-500,North Dakota Statewide CoC,1089,758,331,45,74,832,257,80
OK-501,Tulsa City & County/Broken Arrow CoC,1074,900,174,137,106,819,255,107
FL-506,Tallahassee/Leon County CoC,1072,950,122,117,110,810,262,83
WA-504,Everett/Snohomish County CoC,1066,551,515,387,65,785,281,117
KY-502,Lexington/Fayette County CoC,1051,1000,51,118,162,937,114,65
KS-507,Kansas Balance of State CoC,1037,895,142,135,74,608,429,50
KY-501,Louisville/Jefferson County CoC,1034,883,151,123,166,769,265,53
AR-500,Little Rock/Central Arkansas CoC,1006,456,550,226,121,892,114,75
DE-500,Delaware Statewide CoC,994,936,58,127,91,615,379,45
CA-515,"Roseville/Rocklin/Placer, Nevada Counties CoC",979,521,458,232,44,772,207,66
SC-503,Myrtle Beach/Sumter City & County CoC,974,369,605,191,127,666,308,47
VA-601,Fairfax County CoC,964,856,108,150,34,492,472,49
SD-500,South Dakota Statewide CoC,943,772,171,144,130,611,332,66
