State,CoC_Count,HTotal_2017,HSheltered_2017,HUnsheltered_2017,H_Individuals_2017,SH_Individuals_2017,USH_Individuals_2017,HFamilies_2017,SH_Families_2017,USH_Families_2017,HTotal_2016,HSheltered_2016,HUnsheltered_2016,H_Individuals_2016,SH_Individuals_2016,USH_Individuals_2016,HFamilies_2016,SH_Families_2016,USH_Families_2016,HTotal_2015,HSheltered_2015,HUnsheltered_2015,H_Individuals_2015,SH_Individuals_2015,USH_Individuals_2015,HFamilies_2015,SH_Families_2015,USH_Families_2015,HTotal_2014,HSheltered_2014,HUnsheltered_2014,H_Individuals_2014,SH_Individuals_2014,USH_Individuals_2014,HFamilies_2014,SH_Families_2014,USH_Families_2014,HTotal_2013,HSheltered_2013,HUnsheltered_2013,H_Individuals_2013,SH_Individuals_2013,USH_Individuals_2013,HFamilies_2013,SH_Families_2013,USH_Families_2013
AK,2,1845,1551,294,1354,1060,294,491,491,0,1940,1498,442,1527,1089,438,413,409,4,1956,1639,317,1342,1084,258,614,555,59,1784,1639,145,1209,1109,100,575,530,45,1946,1741,205,1362,1208,154,584,533,51
AL,8,3793,2656,1137,2985,1950,1035,808,706,102,4111,2893,1218,3019,2017,1002,1092,876,216,3970,2943,1027,2868,2076,792,1102,867,235,4561,3518,1043,3115,2373,742,1446,1145,301,4689,3246,1443,3387,2212,1175,1302,1034,268
AR,6,2467,1273,1194,2068,937,1131,399,336,63,2463,1616,847,1838,1140,698,625,476,149,2560,1678,882,1833,1089,744,727,589,138,2936,1503,1433,2303,1070,1233,633,433,200,3812,1664,2148,3174,1177,1997,638,487,151
AZ,3,8947,5781,3166,6488,3423,3065,2459,2358,101,9707,6463,3244,6659,3564,3095,3048,2899,149,9896,6939,2957,6548,3824,2724,3348,3115,233,10495,7926,2569,6194,3851,2343,4301,4075,226,10562,7431,3131,6510,3662,2848,4052,3769,283
CA,43,134278,42636,91642,112756,25022,87734,21522,17614,3908,118142,39752,78390,97660,23720,73940,20482,16032,4450,115738,42039,73699,93156,24843,68313,22582,17196,5386,113952,42515,71437,90765,24857,65908,23187,17658,5529,118552,45554,72998,93458,26426,67032,25094,19128,5966
CO,3,10940,7081,3859,7571,4719,2852,3369,2362,1007,10550,7611,2939,6450,4352,2098,4100,3259,841,9953,7134,2819,5729,3739,1990,4224,3395,829,10028,8083,1945,5573,4035,1538,4455,4048,407,9754,7591,2163,4664,3075,1589,5090,4516,574
CT,2,3388,2972,416,2208,1796,412,1180,1176,4,3902,3229,673,2570,1903,667,1332,1326,6,4047,3421,626,2719,2124,595,1328,1297,31,4450,3531,919,3069,2243,826,1381,1288,93,4448,3529,919,3101,2275,826,1347,1254,93
DC,1,7473,6576,897,3583,2686,897,3890,3890,0,8350,8032,318,3683,3365,318,4667,4667,0,7298,6754,544,3821,3277,544,3477,3477,0,7748,7352,396,3953,3557,396,3795,3795,0,6865,6353,512,3696,3184,512,3169,3169,0
DE,1,994,936,58,615,563,52,379,373,6,1070,1019,51,753,702,51,317,317,0,953,916,37,602,565,37,351,351,0,901,864,37,584,554,30,317,310,7,946,936,10,575,565,10,371,371,0
FL,27,32190,17111,15079,22768,10931,11837,9422,6180,3242,33559,18198,15361,24201,11641,12560,9358,6557,2801,35900,18883,17017,26325,12033,14292,9575,6850,2725,41542,19851,21691,28730,12886,15844,12812,6965,5847,47862,19670,28192,31359,12330,19029,16503,7340,9163
GA,9,10174,6651,3523,7422,4102,3320,2752,2549,203,12909,7543,5366,9265,4785,4480,3644,2758,886,13790,7987,5803,9702,4783,4919,4088,3204,884,16521,8214,8307,12403,4932,7471,4118,3282,836,16971,8510,8461,12880,5250,7630,4091,3260,831
GU,1,852,87,765,215,17,198,637,70,567,1085,112,973,227,18,209,858,94,764,1280,87,1193,306,23,283,974,64,910,1356,126,1230,332,37,295,1024,89,935,1271,128,1143,296,35,261,975,93,882
HI,2,7220,3420,3800,4535,1258,3277,2685,2162,523,7921,3613,4308,4590,1282,3308,3331,2331,1000,7620,3777,3843,4307,1243,3064,3313,2534,779,6918,3813,3105,3750,1164,2586,3168,2649,519,6335,3745,2590,3355,1142,2213,2980,2603,377
IA,3,2756,2652,104,1500,1396,104,1256,1256,0,3064,2921,143,1543,1400,143,1521,1521,0,3081,2878,203,1501,1302,199,1580,1576,4,3122,2926,196,1544,1368,176,1578,1558,20,3084,2950,134,1524,1392,132,1560,1558,2
ID,2,2037,1398,639,1309,857,452,728,541,187,2247,1509,738,1284,886,398,963,623,340,1966,1497,469,1172,832,340,794,665,129,2104,1468,636,1234,848,386,870,620,250,1781,1404,377,1084,775,309,697,629,68
IL,20,10798,8541,2257,6894,4759,2135,3904,3782,122,11590,9736,1854,6986,5226,1760,4604,4510,94,13177,10463,2714,8152,5599,2553,5025,4864,161,13107,11409,1698,7350,5793,1557,5757,5616,141,13425,11229,2196,7958,6104,1854,5467,5125,342
IN,2,5438,4869,569,3623,3082,541,1815,1787,28,5798,5107,691,3824,3158,666,1974,1949,25,5863,5280,583,3914,3353,561,1949,1927,22,5971,5568,403,3953,3560,393,2018,2008,10,6096,5396,700,3751,3167,584,2345,2229,116
KS,5,2287,1942,345,1423,1083,340,864,859,5,2255,1973,282,1228,956,272,1027,1017,10,2588,2283,305,1466,1191,275,1122,1092,30,2783,2534,249,1533,1295,238,1250,1239,11,2693,2382,311,1480,1238,242,1213,1144,69
KY,3,4025,3298,727,3032,2386,646,993,912,81,4237,3531,706,2949,2400,549,1288,1131,157,4538,3796,742,3151,2622,529,1387,1174,213,5089,4258,831,3352,2805,547,1737,1453,284,5245,4491,754,3302,2733,569,1943,1758,185
LA,8,3305,2330,975,2559,1647,912,746,683,63,3994,2853,1141,3176,2069,1107,818,784,34,4081,2890,1191,3217,2053,1164,864,837,27,4606,3503,1103,3444,2364,1080,1162,1139,23,5226,3651,1575,3908,2401,1507,1318,1250,68
