State,Number of CoCs,TotalHomeless2017,"Sheltered Homeless, 2017","Unsheltered Homeless, 2017","Homeless Individuals, 2017","Sheltered Homeless Individuals, 2017","Unsheltered Homeless Individuals, 2017","Homeless People in Families, 2017","Sheltered Homeless People in Families, 2017","Unsheltered Homeless People in Families, 2017","Chronically Homeless, 2017","Sheltered Chronically Homeless, 2017","Unsheltered Chronically Homeless, 2017","Chronically Homeless Individuals, 2017","Sheltered Chronically Homeless Individuals, 2017","Unsheltered Chronically Homeless Individuals, 2017","Chronically Homeless People in Families, 2017","Sheltered Chronically Homeless People in Families, 2017","Unsheltered Chronically Homeless People in Families, 2017","Homeless Veterans, 2017","Sheltered Homeless Veterans, 2017","Unsheltered Homeless Veterans, 2017","Homeless Unaccompanied Youth (Under 25), 2017","Sheltered Homeless Unaccompanied Youth (Under 25), 2017","Unsheltered Homeless Unaccompanied Youth (Under 25), 2017","Homeless Unaccompanied Children (Under 18), 2017","Sheltered Homeless Unaccompanied Children (Under 18), 2017","Unsheltered Homeless Unaccompanied Children (Under 18), 2017","Homeless Unaccompanied Young Adults (Age 18-24), 2017","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2017","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2017","Parenting Youth (Under 25), 2017","Sheltered Parenting Youth (Under 25), 2017","Unsheltered Parenting Youth (Under 25), 2017","Parenting Youth Under 18, 2017","Sheltered Parenting Youth Under 18, 2017","Unsheltered Parenting Youth Under 18, 2017","Parenting Youth Age 18-24, 2017","Sheltered Parenting Youth Age 18-24, 2017","Unsheltered Parenting Youth Age 18-24, 2017","Children of Parenting Youth, 2017","Sheltered Children of Parenting Youth, 2017","Unsheltered Children of Parenting Youth, 2017"
AK,2,1845,1551,294,1354,1060,294,491,491,0,257,158,99,216,117,99,41,41,0,124,95,29,162,142,20,15,15,0,147,127,20,22,22,0,0,0,0,22,22,0,39,39,0
AL,8,3793,2656,1137,2985,1950,1035,808,706,102,363,171,192,344,152,192,19,19,0,269,202,67,294,182,112,36,34,2,258,148,110,29,26,3,6,6,0,23,20,3,39,35,4
AR,6,2467,1273,1194,2068,937,1131,399,336,63,473,147,326,450,138,312,23,9,14,239,130,109,208,87,121,17,15,2,191,72,119,10,10,0,0,0,0,10,10,0,13,13,0
AZ,3,8947,5781,3166,6488,3423,3065,2459,2358,101,1552,546,1006,1463,492,971,89,54,35,970,641,329,578,345,233,55,45,10,523,300,223,81,81,0,0,0,0,81,81,0,112,112,0
CA,43,134278,42636,91642,112756,25022,87734,21522,17614,3908,37360,5235,32125,35798,4430,31368,1562,805,757,11472,3815,7657,15458,2709,12749,1649,198,1451,13809,2511,11298,890,656,234,16,11,5,874,645,229,1058,782,276
CO,3,10940,7081,3859,7571,4719,2852,3369,2362,1007,2264,977,1287,2126,914,1212,138,63,75,1078,743,335,763,428,335,45,23,22,718,405,313,110,74,36,0,0,0,110,74,36,138,99,39
CT,2,3388,2972,416,2208,1796,412,1180,1176,4,420,273,147,387,240,147,33,33,0,191,177,14,170,106,64,13,11,2,157,95,62,64,64,0,0,0,0,64,64,0,89,89,0
DC,1,7473,6576,897,3583,2686,897,3890,3890,0,1881,1343,538,1470,932,538,411,411,0,285,250,35,228,194,34,5,5,0,223,189,34,397,397,0,0,0,0,397,397,0,482,482,0
DE,1,994,936,58,615,563,52,379,373,6,127,102,25,123,98,25,4,4,0,91,85,6,45,43,2,2,2,0,43,41,2,20,20,0,2,2,0,18,18,0,25,25,0
FL,27,32190,17111,15079,22768,10931,11837,9422,6180,3242,5615,1241,4374,4951,1127,3824,664,114,550,2817,1821,996,2019,1075,944,421,282,139,1598,793,805,328,275,53,16,13,3,312,262,50,483,410,73
GA,9,10174,6651,3523,7422,4102,3320,2752,2549,203,1028,462,566,963,405,558,65,57,8,712,466,246,526,328,198,28,24,4,498,304,194,75,62,13,0,0,0,75,62,13,139,121,18
GU,1,852,87,765,215,17,198,637,70,567,64,0,64,20,0,20,44,0,44,24,4,20,1,0,1,0,0,0,1,0,1,7,1,6,0,0,0,7,1,6,14,3,11
HI,2,7220,3420,3800,4535,1258,3277,2685,2162,523,1800,207,1593,1588,164,1424,212,43,169,615,237,378,319,56,263,26,2,24,293,54,239,71,60,11,0,0,0,71,60,11,68,56,12
IA,3,2756,2652,104,1500,1396,104,1256,1256,0,199,143,56,170,114,56,29,29,0,171,153,18,140,136,4,12,12,0,128,124,4,73,73,0,0,0,0,73,73,0,107,107,0
