State,PctSH-2017,PctSH-2016,PctSH-2015,PctSH-2014,PctSH-2013,PctSH-2012,PctSH-2011,PctSH-2010,PctSH-2009,PctSH-2008,PctSH-2007
IA,96.22641509,95.33289817,93.41123012,93.72197309,95.65499351,94.94535519,96.13911934,96.31718646,95.29585799,92.25941423,89.28310168
NE,95.20191923,96.33260712,95.51749271,96.397885,94.49920509,78.04169966,85.7102593,86.53598143,82.81334051,80.97867001,85.16001133
NY,94.91078511,95.84143969,95.44249292,94.90879762,94.63127987,94.12931605,94.22019072,93.69112581,94.08354758,92.4597137,91.5017332
MA,94.35809849,96.12403101,97.19422758,96.42604888,95.53313364,95.87452146,95.78132501,93.68617085,93.50213151,92.6306356,90.65247571
DE,94.16498994,95.23364486,96.11752361,95.89345172,98.94291755,97.81746032,97.87439614,94.70468432,95.84070796,92.39013934,80.49010368
RI,94.15254237,96.81034483,96.75967597,98.31932773,91.54624277,97.807361,97.10280374,94.07176287,96.82638457,95.48494983,96.42857143
WI,93.23652278,92.7880387,92.70265808,94.33526012,93.97116645,90.36004646,92.56698358,82.94647087,83.75478927,90.54872454,90.03186969
ME,92.10526316,94.64524766,97.51264755,96.58840792,97.94429708,98.62097785,98.81487536,98.82303489,98.44517185,98.32826748,97.64973465
UT,90.25245442,91.59244745,92.52892562,89.84096073,87.24443088,86.53246385,85.84664537,82.88672351,93.28063241,92.54513687,89.60478246
IN,89.53659434,88.08209727,90.05628518,93.25071177,88.51706037,85.79645311,89.57391866,81.1066336,74.54180985,80.09465855,82.84860016
VT,89.06122449,86.0340197,90.15101773,89.54457986,87.34525447,80.77586207,89.24825175,88.36065574,87.0675453,72.95597484,69.56521739
MI,88.6973815,89.69514813,89.80600989,82.39960743,81.01847836,81.55972046,82.39666287,78.25853883,80.67118886,41.70560748,40.82700124
NH,88.04945055,89.53147877,90.8650519,90.33430233,86.04008293,88.8368984,78.89720899,84.94282084,85.47112462,76.0277365,56.62811388
DC,87.99678844,96.19161677,92.54590299,94.88900361,92.5418791,90.23583549,95.34066606,93.42407096,94.84585742,93.74586367,93.60902256
CT,87.72136954,82.75243465,84.53175191,79.34831461,79.33902878,83.48776431,84.40305206,88.43836886,89.09880565,86.88134861,81.90539938
PA,87.28250106,89.08012256,90.73990014,93.2694189,90.99164789,92.69815418,92.97827239,92.43593276,91.54080551,91.55286773,90.88162762
OH,87.03318474,89.06189927,90.17170453,90.67072655,89.14401623,87.6153681,86.13967767,85.36080834,86.05511811,80.36710037,83.27414773
WV,85.63789152,90.2667628,76.45776567,78.63884749,71.96428571,63.60995851,63.54590683,67.31448763,76.66466707,70.53571429,89.12411789
MN,85.55033907,87.88993325,88.85502253,90.50972902,88.8604821,87.21590909,87.61841227,85.52547973,87.74293859,82.02511774,80.26764987
KS,84.91473546,87.49445676,88.21483771,91.0528207,88.45154103,87.55588674,88.49064118,90.31620553,89.64059197,86.30609896,86.64140218
AK,84.06504065,77.21649485,83.79345603,91.87219731,89.4655704,89.70203868,82.70676692,89.69404187,83.58433735,88.21385176,84.47015834
NJ,83.4348641,83.87858347,90.35452565,91.98868992,88.3436094,87.74664107,90.75475702,87.95952537,90.14351887,85.74320416,85.68788264
VA,83.38552827,87.77919592,88.41594058,90.17094017,86.59672131,83.0365622,83.77949183,81.92731278,82.28648893,81.41457079,77.64210958
KY,81.9378882,83.33726693,83.64918466,83.67066221,85.62440419,82.58126195,85.89658601,84.53872867,88.33138856,76.13371021,73.68812802
