COCNUM,lon,lat
AK-500,-149.8287113,61.2089599
AL-501,-88.0398912,30.6953657
AL-502,-87.6754744,34.8011338
AL-503,-86.544842,34.743869
AL-504,-86.2999689,32.3668052
AL-506,-87.5691735,33.2098407
AR-500,-92.395645,34.771844
AR-501,-94.1480042,36.1283046
AR-505,-90.7220157,35.8259672
AR-508,-94.424967,35.386608
AZ-500,-112.0876623,33.4486776
AZ-501,-110.9727574,32.222129
AZ-502,-112.0755298,33.4517866
CA-500,-121.8863286,37.3382082
CA-501,-122.4013644,37.7905033
CA-503,-121.4943996,38.5815719
CA-504,-122.712971,38.440152
CA-507,-122.5255562,37.9738565
CA-508,-121.7568946,36.910231
CA-511,-121.2867456,37.952907
CA-514,-119.79787,36.766892
CA-516,-122.3963243,40.5834887
CA-517,-122.286865,38.2975381
CA-518,-122.2383426,38.1026404
CA-520,-120.4829677,37.3021632
CA-521,-121.7974936,38.6787219
CA-525,-121.0628343,38.6516674
CA-600,-118.2436849,34.0522342
CA-601,-117.1295286,32.8342121
CA-602,-117.846949,33.760245
CA-604,-119.0621406,35.3538962
CA-606,-118.199764,33.767897
CA-607,-118.1331211,34.1420988
CA-608,-117.3961564,33.9533487
CA-609,-117.2897652,34.1083449
CA-612,-118.2583634,34.1450819
CA-613,100.60536,13.746863
CO-503,-105.0044627,39.7438924
CO-504,-104.7770863,38.7888259
CT-502,-72.7681986,41.685551
CT-505,-72.9410911,41.3061003
CT-508,-73.5442135,41.051616
CT-512,-72.9702113,41.541219
DC-500,-76.9897823,38.9343772
FL-501,-82.454765,27.948387
FL-502,-82.7033257,27.8275591
FL-503,-81.9535914,28.0403185
FL-504,-81.029906,29.221612
FL-505,-86.6292002,30.4614244
FL-506,-84.2539853,30.5002699
FL-509,-80.3228786,27.4470319
FL-512,-81.3361587,29.9386611
FL-513,-80.6191626,28.0478858
FL-514,-82.137274,29.188053
FL-516,-81.7342288,28.0580163
FL-519,-82.720349,28.237254
FL-600,-80.1964268,25.7755072
FL-601,-80.1436532,26.1208453
FL-602,-82.047492,26.938478
FL-603,-81.885579,26.596277
FL-604,-83.4145884,41.9130087
FL-605,-80.0602751,26.7121966
FL-606,-81.791059,26.162386
GA-500,-84.3973208,33.7774349
GA-502,-84.3913985,33.7518869
GA-503,-83.5022681,33.9158991
GA-504,-81.9617403,33.4712264
GA-506,-84.5231526,33.951807
GA-507,-81.0832426,32.0698019
GA-508,-88.745626,41.930952
IA-502,-93.623484,41.58464
ID-500,-116.214506,43.61503
IL-501,-89.076772,42.2669262
IL-503,-88.1866775,40.1064108
IL-504,-89.3436886,43.0970189
IL-506,-88.1432287,41.5299278
IL-508,-90.1628404,38.6265592
IL-509,-88.7503647,41.9294736
IL-510,-87.644568,41.882797
IL-511,-87.8925744,41.8689499
IL-512,-88.984256,40.4760851
IL-514,-88.1427403,41.8673962
IL-516,-88.9416124,39.8508054
IL-520,-89.2185849,37.7130197
IN-500,-86.2815245,41.6876213
IN-503,-86.1822834,39.8299632
KS-501,-94.6254241,39.1129848
KS-505,-94.7291314,38.953186
KS-507,-95.667413,39.0517982
KY-500,-84.899885,38.177546
KY-501,-85.760987,38.232557
KY-502,-84.430548,38.028283
LA-500,-92.015447,30.209249
LA-503,-90.0677363,29.9160227
LA-504,-91.0487314,30.3850491
LA-505,-92.110947,32.492689
LA-507,-92.45323,31.30558
MA-500,-71.416097,42.2810315
MA-502,100.4376695,13.6642144
MA-504,-72.7689611,42.0550248
MA-506,-71.8022934,42.2625932
MA-508,-71.1508859,42.5403008
MA-509,100.7428271,13.8020331
MA-515,-71.156553,41.6994525
MA-519,-71.2832795,41.9450184
MA-520,-71.0183787,42.0834335
MD-500,-78.7625185,39.6528654
MD-501,-76.688817,39.2940475
MD-502,-76.3457252,39.5337112
MD-503,-76.5457562,38.9821821
MD-504,-76.857258,39.220476
MD-505,-76.4714243,39.4075321
MD-506,-85.043223,33.5965909
MD-507,-75.8322044,39.6114335
MD-509,-77.4105409,39.4142688
MD-512,-77.7241293,39.6418566
MD-600,-76.871961,38.8896423
MD-601,-75.3434315,40.115726
ME-502,-122.6780304,45.5208227
MI-501,-83.070423,42.3444836
MI-502,-83.1489169,42.2127358
MI-505,-83.690195,43.015945
MI-507,-85.5800022,42.2011538
MI-510,-83.9508068,43.4194699
MI-511,-84.0337321,41.8967391
MI-513,-87.3880287,46.5487157
MI-514,-85.1266514,42.3099841
MI-515,-91.7346056,39.6536529
MI-516,-86.2639461,43.1689044
MI-517,-120.7741018,38.3488023
MI-519,-86.082782,42.793602
MN-500,-93.2620697,44.9725646
MN-504,100.5078778,13.7693224
MN-506,-93.3901883,45.0467264
MN-511,100.5078778,13.7693224
MO-500,-90.6011018,38.783942
MO-501,100.5343395,13.7473961
MO-503,-90.4974359,38.7881062
MO-602,-94.5146232,37.0884403
MO-606,-94.5833803,39.1026584
MS-501,-90.1895832,32.3002359
MS-503,-89.0344556,30.4336514
NC-500,-80.2441513,36.0966583
NC-501,-82.5485832,35.5959847
NC-502,-78.898619,35.9940329
NC-504,-80.0188511,35.976348
NC-505,-80.8386092,35.2207146
NC-511,-78.874462,35.0516015
NC-516,-76.610231,35.665344
ND-500,-100.7711874,46.8500825
NE-502,-80.6027403,28.3806648
NH-501,-71.4614475,42.9910868
NJ-500,-74.4229266,39.3642834
NJ-502,-74.9564993,39.9357816
NJ-503,-75.1196199,39.9259463
NJ-504,-74.1802185,40.7375351
NJ-507,-74.4463436,40.4943956
NJ-509,-74.4835583,40.7964118
NJ-511,-74.1704027,40.913417
NJ-512,-75.466589,39.572603
NJ-513,-79.0787416,40.0127208
NJ-514,-74.7638456,40.2170676
NJ-515,-74.2120182,40.665758
NJ-518,-74.5757782,39.2788593
NM-500,-38.5150212,-3.7478138
NM-501,-105.9523165,35.6783076
NV-500,-115.1636839,36.1645642
NY-502,-76.5679421,42.9315049
NY-503,-73.7562317,42.6525793
NY-507,-73.9395687,42.8142432
NY-508,-78.702085,43.0639648
NY-509,-76.4150393,43.3255617
NY-510,-76.4969475,42.4393513
NY-512,-73.688723,42.7304465
NY-514,-79.217439,42.113253
NY-516,100.426465,13.6847908
NY-519,-73.817645,42.217669
NY-520,-83.001884,39.9508586
NY-600,-73.9486109,40.8846273
NY-601,-73.9282586,41.7042262
NY-603,-73.4039133,40.7085229
NY-606,-74.0643364,41.1111108
NY-608,-74.0173253,41.9327293
OH-500,-84.4841268,39.1248648
OH-501,-83.540396,41.6600589
OH-502,-81.6968872,41.5016383
OH-503,-82.9738163,39.9711732
OH-504,-80.6507348,41.0989005
OH-505,-84.2004784,39.7586207
OH-506,-81.5256155,41.0671244
OH-507,-82.997588,39.9587522
OK-501,-95.992775,36.1539816
OK-502,-97.5687989,35.3642134
OK-504,-97.4252088,35.2217122
OK-505,-97.4769865,35.5196222
OK-506,-95.9788964,36.7522993
OK-507,-96.3763534,34.0048309
OR-503,-121.2633554,44.0538444
PA-500,-75.1644061,39.9540978
PA-503,-75.8737588,41.2381953
PA-505,-75.5839787,39.9603787
PA-506,-75.902646,40.329453
PA-510,-76.3055144,40.0378755
PA-512,-76.727745,39.9625984
PA-601,100.3770021,13.653062
PA-602,-80.078405,42.12917
PA-603,-80.3075308,40.6954403
PA-605,-80.085059,42.1292241
PR-503,-66.2537185,18.0004414
SC-501,-82.3678616,34.840042
SC-503,-80.2544275,33.9039009
TN-500,-85.2820677,35.0392186
TN-501,-90.0507641,35.1459339
TN-502,-83.9660989,35.9566631
TN-503,-86.3669155,35.8486229
TN-504,-86.7586953,36.1660999
TN-506,-85.533598,36.130262
TN-507,-88.815851,35.611986
TN-509,-82.3525832,36.3127747
TN-510,-86.4485487,35.8669318
TX-500,-98.506279,29.414931
TX-503,-97.709515,30.32828
TX-600,-96.7969879,32.7766642
TX-601,-97.3180747,32.7537594
TX-603,-106.4850217,31.7618778
TX-607,-97.7851552,30.2295349
TX-611,-101.8312955,35.2067159
TX-701,-96.2963861,30.569432
TX-703,-93.923113,29.896381
UT-500,-111.8910474,40.7607793
VA-502,-79.9414266,37.2709704
VA-503,-76.2880581,36.8459792
VA-505,-76.475561,37.050279
VA-507,-70.7478308,43.0874409
VA-521,-77.4384967,37.5399022
VA-600,-77.0849827,38.8897498
VA-601,-77.3569569,38.854221
VA-602,-77.5506794,39.0783792
