CA-600,37726,6776,30950,6128,4297,1831,1243,1485,814,2272
NY-600,28965,26127,2838,44558,44558,0,527,32,1653,152
NV-500,5851,2131,3720,357,346,11,328,402,215,1316
CA-501,6309,1984,4325,687,654,33,228,352,125,1363
CA-500,5585,1021,4564,939,876,63,255,446,105,780
CA-601,6955,2297,4658,1714,1432,282,584,572,257,573
WA-500,7748,3299,4449,2982,2926,56,536,120,389,335
CA-504,2517,631,1886,389,369,20,54,220,64,600
OR-505,3429,1308,2121,2281,551,1730,207,318,150,451
TX-607,3898,1683,2215,2150,1977,173,40,24,192,265
CA-614,1200,162,1038,168,83,85,48,113,17,389
AZ-502,3620,1980,1640,2082,2076,6,319,131,260,110
CO-503,3581,2861,720,2147,2070,77,649,73,246,108
CA-507,1070,244,826,188,179,9,37,41,3,351
GA-500,3610,2831,779,453,394,59,366,3,329,18
CA-506,2536,442,2094,486,473,13,83,121,50,272
WA-501,3181,1313,1868,2113,1446,667,213,209,146,167
IL-510,3721,2488,1233,2168,2158,10,399,202,281,28
CA-508,1454,306,1148,505,299,206,33,113,54,249
OR-501,3209,1480,1729,705,547,158,224,196,148,136
PA-500,3430,2725,705,2682,2682,0,276,17,257,25
CA-502,3148,995,2153,997,753,244,170,231,200,71
FL-518,885,54,831,260,42,218,28,112,13,253
CA-503,1921,1010,911,579,542,37,166,142,100,150
IN-502,2367,1842,525,1344,1319,25,243,40,186,57
TX-700,3055,1869,1186,976,966,10,376,147,162,77
CA-509,1147,140,1007,95,52,43,5,14,21,215
MN-500,1465,1295,170,1591,1591,0,126,11,202,20
LA-503,1438,731,707,188,178,10,85,7,108,110
DC-500,3683,3365,318,4667,4667,0,322,28,178,33
GA-501,3392,660,2732,2183,1397,786,48,420,48,162
PA-509,1391,909,482,1208,1087,121,97,14,156,53
CO-500,2006,920,1086,1514,769,745,133,158,75,129
NY-603,1076,963,113,2884,2882,2,141,3,196,7
FL-519,793,113,680,262,82,180,30,70,14,174
FL-600,3182,2202,980,1053,1051,2,126,31,165,12
WI-500,1547,1428,119,1898,1885,13,228,8,147,23
CA-609,1422,297,1125,465,399,66,29,93,46,123
NJ-504,1171,738,433,608,598,10,32,20,143,26
HI-501,2797,923,1874,2143,1844,299,224,189,57,111
TX-500,2048,949,1099,733,695,38,164,99,77,90
MI-500,815,626,189,651,618,33,48,18,124,38
MO-500,256,212,44,209,205,4,49,2,149,13
NC-503,1851,1293,558,1112,835,277,82,54,110,51
CA-608,1900,579,1321,265,235,30,111,100,75,82
MO-604a,1170,946,224,529,519,10,176,21,95,59
TX-600,2633,1900,733,1177,1171,6,253,54,130,23
MI-501,1694,1508,186,641,634,7,336,18,146,5
CA-516,1065,224,841,207,88,119,32,66,21,130
MN-501,802,675,127,544,535,9,47,1,133,18
CA-602,3028,833,2195,1291,1285,6,99,356,40,105
FL-601,1844,1085,759,458,435,23,129,81,107,37
HI-500,1793,359,1434,1188,487,701,40,217,25,116
CA-603,1385,577,808,428,346,82,43,79,75,58
ME-500,774,721,53,708,694,14,90,14,120,13
NV-501,877,757,120,112,112,0,103,8,90,39
FL-502,2383,1263,1120,394,375,19,269,111,89,38
NE-501,1110,1053,57,399,399,0,128,6,125,0
OH-503,1263,924,339,461,461,0,103,30,99,26
WI-501,856,652,204,559,556,3,87,10,84,39
AZ-501,1305,926,379,460,458,2,232,49,107,14
OH-507,1675,1296,379,1357,1291,66,179,28,112,8
KY-500,1240,822,418,817,662,155,130,34,80,39
NY-500,541,477,64,319,314,5,60,6,110,9
OK-502,1202,895,307,309,309,0,124,33,108,10
OR-500,1227,388,839,224,129,95,52,110,47,67
CA-518,955,177,778,163,146,17,54,65,6,108
IA-501,822,757,65,1101,1101,0,55,3,105,7
TX-503,1513,704,809,625,618,7,150,107,67,44
PA-600,755,707,48,401,401,0,164,3,108,2
AL-500,927,743,184,301,289,12,156,2,88,22
MO-501,788,690,98,460,460,0,137,3,104,4
MO-606,837,567,270,594,489,105,88,27,86,22
CA-510,1147,485,662,287,219,68,39,35,46,62
FL-510,1466,1025,441,493,493,0,104,26,80,27
FL-509,925,62,863,1457,186,1271,3,47,28,77
CA-522,989,100,889,145,98,47,39,92,18,84
SC-503,965,358,607,357,132,225,43,188,42,59
CA-514,1684,276,1408,199,176,23,84,144,44,57
MT-500,844,443,401,574,345,229,92,73,52,48
OH-505,555,512,43,196,196,0,59,1,94,6
OK-507,345,166,179,91,51,40,14,5,43,56
AZ-500,1734,658,1076,506,365,141,112,193,64,34
NM-501,689,434,255,352,336,16,27,48,83,15
FL-500,1219,607,612,249,197,52,99,62,70,27
PR-502,2046,559,1487,297,230,67,7,72,37,60
NY-505,605,585,20,262,255,7,56,0,90,7
FL-507,1094,961,133,576,576,0,225,6,92,4
CO-504,863,571,292,439,420,19,124,44,62,33
AK-500,905,665,240,200,200,0,60,29,84,10
CT-505,2045,1534,511,971,965,6,131,32,74,17
CA-505,1366,385,981,364,235,129,51,85,40,51
FL-505,521,169,352,108,103,5,10,27,44,47
MN-505,349,228,121,320,274,46,24,1,65,26
IN-503,1162,1032,130,457,457,0,317,9,76,14
WA-503,1062,637,425,700,631,69,100,90,65,25
NM-500,867,693,174,355,346,9,123,16,80,10
CA-604,875,381,494,192,180,12,65,34,31,58
TN-504,2069,1396,673,296,296,0,169,61,70,18
OK-501,766,633,133,277,260,17,88,20,50,38
OH-502,1360,1286,74,337,337,0,190,12,83,2
NY-604,658,624,34,1092,1092,0,126,2,80,5
MD-501,2027,1690,337,698,698,0,234,35,56,26
AR-503,519,272,247,215,97,118,14,8,21,61
NY-503,468,442,26,280,280,0,69,2,76,5
WA-504,702,266,436,258,223,35,22,36,37,43
AK-501,622,424,198,213,209,4,52,27,53,26
NC-505,1168,984,184,650,647,3,124,25,67,11
CA-611,1011,363,648,260,131,129,21,57,35,43
MN-503,289,135,154,329,276,53,16,3,42,36
UT-500,1260,1203,57,631,631,0,268,7,76,1
SD-500,548,446,102,524,441,83,109,11,69,8
ID-501,604,318,286,776,449,327,64,46,44,33
OH-500,844,784,60,272,272,0,183,2,70,6
TN-507,1119,117,1002,422,46,376,2,55,5,71
TX-601,1379,981,398,559,534,25,175,30,42,32
ND-500,662,509,153,261,198,63,63,53,61,13
MA-500,2485,2318,167,3755,3755,0,217,5,62,11
NY-508,610,553,57,352,352,0,88,9,72,1
CA-524,387,75,312,315,116,199,1,20,7,66
LA-509,153,124,29,26,10,16,5,0,62,8
CA-606,1908,547,1361,342,190,152,195,94,19,50
OR-502,447,234,213,80,54,26,53,23,42,27
NE-502,486,454,32,208,208,0,71,1,69,0
CA-519,440,157,283,134,132,2,22,27,33,36
OH-506,470,388,82,209,204,5,61,6,60,8
IL-507,271,212,59,107,96,11,11,1,58,10
SC-501,1187,956,231,642,613,29,115,26,54,13
FL-606,338,219,119,207,109,98,4,1,56,11
PR-503,1753,340,1413,322,192,130,30,37,15,51
CA-515,861,437,424,160,85,75,24,43,25,41
SC-502,1087,763,324,263,252,11,182,42,47,17
FL-506,635,491,144,234,230,4,88,29,58,6
RI-500,859,822,37,301,301,0,89,0,63,1
TN-501,1121,1000,121,548,548,0,228,12,60,3
FL-605,1008,236,772,324,271,53,29,86,17,46
PA-601,571,505,66,415,412,3,118,1,49,13
KY-502,898,877,21,166,166,0,155,2,55,6
NC-504,544,460,84,177,177,0,66,0,59,2
FL-513,505,352,153,322,292,30,147,13,55,5
NJ-503,733,521,212,335,308,27,135,16,50,9
WA-502,677,513,164,304,296,8,90,13,42,17
VA-521,394,263,131,260,235,25,24,5,43,16
NY-501,330,241,89,176,139,37,6,16,34,24
MN-509,330,178,152,198,192,6,13,8,47,11
TX-603,584,471,113,516,516,0,58,13,47,9
GA-507,923,406,517,147,147,0,17,12,19,37
FL-501,1284,577,707,533,471,62,112,69,18,35
ID-500,680,568,112,187,174,13,138,19,45,8
CA-512,911,251,660,450,335,115,46,90,27,26
UT-503,461,343,118,277,257,20,41,16,40,13
FL-511,615,444,171,183,172,11,86,26,46,6
MO-600,301,113,188,195,171,24,7,22,14,38
IL-514,204,174,30,351,351,0,13,1,51,1
DE-500,753,702,51,317,317,0,103,4,46,5
VT-500,450,373,77,335,318,17,73,6,45,6
AL-507,615,353,262,212,106,106,9,19,28,23
CA-513,646,199,447,146,127,19,4,33,29,21
FL-517,601,126,475,470,187,283,12,0,0,50
GA-502,282,228,54,201,194,7,57,0,40,9
NJ-502,471,458,13,455,455,0,11,0,45,4
NY-602,185,165,20,158,158,0,0,2,49,0
OR-503,386,153,233,216,44,172,20,42,18,29
CA-521,322,139,183,210,200,10,13,16,16,31
MO-503,288,148,140,322,232,90,2,7,29,18
FL-514,650,198,452,173,97,76,73,35,12,34
LA-504,446,375,71,26,26,0,58,6,42,4
WV-508,573,489,84,175,175,0,91,8,34,11
IL-511,556,446,110,396,396,0,74,7,38,7
NC-507,569,433,136,249,247,2,62,16,40,5
AR-501,359,302,57,191,187,4,45,11,34,11
CA-526,509,67,442,123,84,39,14,21,3,42
MN-502,147,133,14,276,276,0,6,3,41,4
MN-506,111,109,2,179,179,0,6,0,45,0
FL-508,596,173,423,248,246,2,47,76,34,10
MI-506,527,486,41,273,273,0,71,5,36,8
ME-502,547,494,53,212,212,0,35,7,41,3
VA-601,484,410,74,575,575,0,25,12,43,1
MA-504,379,344,35,2006,2006,0,25,0,42,2
NE-500,284,272,12,267,267,0,12,1,44,0
NH-500,443,371,72,227,223,4,23,2,42,1
CA-520,504,156,348,12,4,8,5,20,14,29
IL-520,175,159,16,176,173,3,20,1,40,3
NY-507,257,188,69,88,88,0,11,2,25,18
TN-502,674,593,81,74,74,0,98,4,34,7
KY-501,811,701,110,305,303,2,167,24,37,3
VA-500,624,554,70,138,138,0,105,13,36,4
AR-500,742,408,334,66,61,5,84,37,28,11
IA-502,558,489,69,235,235,0,84,13,37,2
TN-510,238,135,103,68,52,16,15,6,16,23
MI-504,272,196,76,166,166,0,6,2,31,8
MS-500,566,230,336,67,67,0,17,48,21,17
NJ-500,440,324,116,36,36,0,54,5,37,1
CA-607,453,104,349,77,74,3,13,31,5,33
NY-608,180,146,34,148,144,4,10,3,34,4
TN-512,342,156,186,288,154,134,3,8,17,21
OR-506,383,78,305,188,115,73,47,16,6,31
KS-502,378,303,75,193,189,4,31,15,26,11
IL-512,215,196,19,196,167,29,23,2,34,3
CA-613,280,28,252,100,100,0,1,11,6,31
OK-503,153,36,117,142,78,64,3,0,6,31
CA-511,947,460,487,833,785,48,77,61,23,13
OK-505,237,222,15,131,120,11,15,2,36,0
SC-500,519,263,256,31,24,7,112,30,8,26
MD-508,290,148,142,174,65,109,9,17,12,22
FL-603,310,162,148,129,94,35,12,7,24,10
MA-509,399,330,69,118,118,0,7,0,31,3
MS-501,484,276,208,301,203,98,37,29,19,14
PA-506,356,353,3,165,165,0,29,0,33,0
AL-503,283,196,87,102,102,0,21,8,18,15
PA-512,164,117,47,201,177,24,13,0,6,27
NY-511,226,204,22,50,44,6,2,0,31,2
MA-505,300,245,55,169,169,0,56,5,26,6
IN-500,295,284,11,173,173,0,54,0,32,0
WA-508,319,208,111,369,255,114,28,12,27,5
MI-505,224,149,75,153,141,12,16,4,26,6
IL-518,208,178,30,132,123,9,14,0,26,6
WY-500,517,277,240,340,214,126,56,31,24,7
FL-604,497,259,238,78,46,32,45,42,13,18
MI-503,317,268,49,86,86,0,55,0,25,6
WI-503,360,293,67,269,266,3,44,5,29,2
VA-503,234,184,50,155,155,0,34,6,24,7
NY-523,193,177,16,75,75,0,26,0,23,8
NC-509,238,171,67,90,72,18,13,3,27,4
MA-516,314,253,61,1694,1694,0,5,0,26,5
FL-520,414,157,257,181,146,35,30,19,15,15
